-999999	-2.0	0
-2.0	-1.0	1
-1.0	0.0	2
0.0	1.0	3
1.0	2.0	4
2.0	3.0	5
3.0	4.0	6
4.0	5.0	7
5.0	6.0	8
6.0	7.0	9
7.0	8.0	10
8.0	9.0	11
9.0	10.0	12
10.0	11.0	13
11.0	12.0	14
12.0	13.0	15
13.0	14.0	16
14.0	15.0	17
15.0	17.0	18
17.0	18.0	19
18.0	19.0	20
19.0	21.0	21
21.0	23.0	22
23.0	25.0	23
25.0	27.0	24
27.0	29.0	25
29.0	31.0	26
31.0	33.0	27
33.0	35.0	28
35.0	38.0	29
38.0	41.0	30
41.0	44.0	31
44.0	46.0	32
46.0	49.0	33
49.0	52.0	34
52.0	56.0	35
56.0	59.0	36
59.0	62.0	37
62.0	66.0	38
66.0	71.0	39
71.0	76.0	40
76.0	83.0	41
83.0	89.0	42
89.0	94.0	43
94.0	100.0	44
100.0	107.0	45
107.0	115.0	46
115.0	124.0	47
124.0	135.0	48
135.0	150.0	49
150.0	165.0	50
165.0	179.0	51
179.0	184.0	52
184.0	210.0	53
210.0	234.0	54
234.0	259.0	55
259.0	281.0	56
281.0	311.0	57
311.0	341.0	58
341.0	397.0	59
397.0	476.0	60
476.0	557.0	61
557.0	637.0	62
637.0	745.0	63
745.0	866.0	64
866.0	1054.0	65
1054.0	1268.0	66
1268.0	1595.0	67
1595.0	2094.0	68
2094.0	2730.0	69
2730.0	7864.0	70
7864.0	18522.0	71
18522.0	999999	72
